Start_Date,End_Date,Start_Frequency,End_Frequency,Flare_Location,Flare_Region,Importance,CME_Date,CPA,width,isHalo,WidthLimit
2004-12-08 20:05:00,2004-12-08 20:10:00,14000,8000,N08W03,10709,C2.5,2004-12-08 20:26:00,,360,True,
2006-08-26 20:40:00,2006-08-26 21:00:00,7000,2000,S10E08,10905,C2.5,2006-08-26 20:57:00,164.0,208,False,
2003-01-27 22:20:00,2003-01-27 22:26:00,11000,8000,S17W23,FILA,C2.4,2003-01-27 22:23:00,205.0,267,False,
2000-03-27 06:56:00,2000-03-27 06:58:00,14000,10000,S00E90,8932,C2.3,2000-03-27 07:31:00,129.0,90,False,
2001-04-18 02:55:00,2001-04-18 14:00:00,1000,100,SW90b,-----,C2.2,2001-04-18 02:30:00,,360,True,
2013-01-16 22:00:00,2013-01-17 01:30:00,1000,200,S33W64,11650,C2.2,2013-01-16 19:00:00,211.0,250,False,
2014-08-22 10:37:00,2014-08-22 11:18:00,14000,6000,N12E01,12146,C2.2,2014-08-22 11:12:00,,360,True,
1999-09-03 03:00:00,1999-09-03 04:10:00,2000,1000,S36W24,8679,C2.1,1999-09-03 00:06:00,184.0,175,False,
2004-07-29 13:20:00,2004-07-30 20:30:00,1000,50,N00W90,10652,C2.1,2004-07-29 12:06:00,,360,True,
2005-08-31 11:40:00,2005-08-31 12:10:00,6000,800,N13W13,10803,C2.0,2005-08-31 11:30:00,,360,True,
2006-04-30 16:20:00,2006-05-02 01:00:00,1000,200,S09E08,10876,C1.8,2006-04-30 09:54:00,,360,True,
2003-01-20 19:10:00,2003-01-20 20:00:00,14000,6000,N34W26,FILA,C1.7,2003-01-20 18:30:00,315.0,105,False,
2004-06-22 22:07:00,2004-06-22 22:30:00,10000,7000,S12W24,10635,C1.7,,,----,True,
2004-10-24 03:12:00,2004-10-24 03:21:00,14000,8000,N11E19,10687,C1.7,2004-10-24 03:54:00,26.0,>109,False,109.0
2012-04-15 02:30:00,2012-04-15 02:50:00,16000,4000,N10E90,11461,C1.7,2012-04-15 02:24:00,79.0,173,False,
2001-01-26 12:06:00,2001-01-26 14:20:00,14000,400,S23W57,9320,C1.6,2001-01-26 12:06:00,276.0,176,False,
2014-07-30 07:44:00,2014-07-30 08:00:00,6300,4500,N10E30,EP?,C1.5,2014-07-30 07:00:00,13.0,254,False,
1997-09-23 21:53:00,1997-09-23 22:16:00,6000,2000,S29E25,8088,C1.4,1997-09-23 22:02:00,133.0,155,False,
1997-05-12 05:15:00,1997-05-14 16:00:00,12000,80,N21W08,8038,C1.3,1997-05-12 05:30:00,,360,True,
2004-04-08 13:30:00,2004-04-08 14:00:00,6000,3000,S19W08,10588,C1.3,2004-04-08 13:31:00,198.0,92,False,
2013-09-29 21:53:00,2013-09-30 21:00:00,14000,60,N17W29,EP,C1.3,2013-09-29 22:12:00,,360,True,
2016-05-04 14:20:00,2016-05-04 14:34:00,14000,10500,N06W61,12535,C1.3,2016-05-04 14:12:00,255.0,134,False,
2011-01-27 12:20:00,2011-01-27 12:35:00,16000,8000,N12W87,11149,C1.2,2011-01-27 12:36:00,255.0,43,False,
2011-11-26 07:15:00,2011-11-27 23:00:00,10000,50,N17W49,11353,C1.2,2011-11-26 07:12:00,,360,True,
2013-10-02 20:46:00,2013-10-02 21:10:00,10000,5200,N20W85,DIM,C1.2,2013-10-02 20:36:00,309.0,263,False,
1998-01-25 15:03:00,1998-01-25 15:18:00,14000,10000,N21E25,8141,C1.1,1998-01-25 15:26:00,,360,True,
2000-02-18 09:44:00,2000-02-18 09:54:00,2000,1200,NW90b,-----,C1.1,2000-02-18 09:54:00,286.0,118,False,
2007-05-19 13:02:00,2007-05-19 13:05:00,16000,13000,N07W06,10956,B9.5,2007-05-19 13:24:00,260.0,106,False,
1997-12-12 22:45:00,1997-12-12 23:20:00,14000,8000,N25W52,8116,B9.4,1997-12-13 00:26:00,278.0,73,False,
1998-05-11 21:40:00,1998-05-11 22:00:00,10000,1000,N32W90,8214,B6.6,1998-05-11 21:55:00,208.0,>301,False,301.0
1998-05-19 10:00:00,1998-05-19 11:30:00,14000,3000,N23W43,8222,B5.7,1998-05-19 10:27:00,268.0,139,False,
2013-08-06 02:01:00,2013-08-06 02:11:00,14000,11000,N27E25,EP,B4.5,2013-08-06 02:12:00,48.0,207,False,
